ano;mes;uo;pessoal
2011;2;2311;10345815,35
2011;2;2321;4412780,88
2011;2;2331;836331,61
2011;2;2351;3970872,7
2011;2;2371;5019651,88
2011;2;2381;204855,32
2011;2;2391;1109506,19
2011;2;2401;288981,5
2011;2;2411;298648,12
2011;2;2421;183070,65
2011;2;2431;215718,96
2011;2;2441;138711,02
2011;2;2451;137445,22
2011;2;3041;12556002
2011;2;3051;4527061,91
2011;2;3151;421976,94
2011;2;4291;460667,99
2011;2;4461;418298976,3
2011;3;1071;560970,32
2011;3;1081;5276441,3
2011;3;1101;310007,97
2011;3;1111;59855,77
2011;3;1141;22052,14
2011;3;1161;18829,67
2011;3;1191;61453581,06
2011;3;1221;419932,33
2011;3;1231;433457,54
2011;3;1251;344341854,5
2011;3;1261;385820730,2
2011;3;1271;739282,61
2011;3;1301;582623,51
2011;3;1321;18717385,01
2011;3;1371;1197832,42
2011;3;1401;29801850,23
2011;3;1411;244260,66
2011;3;1451;44435024,85
2011;3;1461;533547,36
2011;3;1471;379210,9
2011;3;1481;2002106,47
2011;3;1491;2570636,36
2011;3;1501;4623015,37
2011;3;1511;55656256,68
2011;3;1521;496453,79
2011;3;1531;443456,32
2011;3;1541;341188,71
2011;3;1571;441897
2011;3;1581;164611,37
2011;3;1591;17069,99
2011;3;1601;121792,91
2011;3;1941;9117774,39
2011;3;2011;14517311,39
2011;3;2041;153310,25
2011;3;2061;1340844,28
2011;3;2071;313165,47
2011;3;2081;615272,66
2011;3;2091;910094,61
2011;3;2101;3160195,14
2011;3;2111;497150,18
2011;3;2121;47455901,57
2011;3;2141;701861,2
2011;3;2151;725957,06
2011;3;2161;172359,39
2011;3;2171;114686,34
2011;3;2181;1300428,67
2011;3;2201;433168,72
2011;3;2211;105060,41
2011;3;2231;135869,83
2011;3;2241;538411,97
2011;3;2251;1054865,22
2011;3;2261;2587343,19
2011;3;2271;33764932,37
2011;3;2281;190478,27
2011;3;2301;10226056,01
2011;3;2311;10797537,63
2011;3;2321;4879836,22
2011;3;2331;978604,96
2011;3;2351;3640605,22
2011;3;2371;5016829,16
2011;3;2381;225069,24
2011;3;2391;1032981,07
2011;3;2401;219704,79
2011;3;2411;269656,18
2011;3;2421;237534,3
2011;3;2431;262561,31
2011;3;2441;175372,3
2011;3;2451;142954,99
2011;3;3041;13540598,45
2011;3;3051;4665063,69
2011;3;3151;382618,1
2011;3;4291;673722,75
2011;3;4461;425939435
2011;4;1071;529600,95
2011;4;1081;5154198,09
2011;4;1101;290780,43
2011;4;1111;58054,4
2011;4;1141;15580,62
